구,동,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도
양천구,신월동,목동센트럴아이파크위브4단지,59.68,202202,8,110000,12,2020
양천구,신월동,태형,84.75,202202,10,48500,2,1998
양천구,신정동,푸른마을2,59.85,202202,16,69000,15,2001
양천구,목동,목동신시가지1,47.52,202202,21,130000,15,1985
양천구,신정동,목동경동미르웰,14.02,202203,3,13700,15,2017
양천구,신월동,삼정그린뷰,84.14,202203,5,72000,6,2005
양천구,신정동,목동신시가지11,66.24,202203,7,130000,1,1988
양천구,신정동,이펜하우스2단지,84.51,202203,7,93000,6,2011
양천구,신월동,신도신월1차,80.19,202203,7,73000,8,2004
양천구,신월동,보람쉬움1,58.15,202203,9,58300,8,2003
양천구,목동,하이페리온2,155.586,202203,9,260000,38,2006
양천구,신월동,누리애,57.72,202203,12,35000,6,2010
양천구,신월동,태헌(신월프라자),56.97,202203,16,30000,9,1999
양천구,신월동,신월시영,59.49,202203,18,85000,10,1988
양천구,신월동,길훈,42.57,202203,19,43000,5,1987
양천구,신월동,서울가든,86.4,202203,20,69000,9,1985
양천구,신월동,롯데캐슬,84.984,202203,25,110000,16,2014
양천구,신월동,동도센트리움,69.17,202203,27,63250,7,2007
양천구,신월동,목동센트럴아이파크위브2단지,59.88,202203,29,103500,6,2020
양천구,목동,금호어울림,102.13,202203,31,116500,3,2004
양천구,신월동,코아루2단지,84.95,202204,1,70000,8,2010
양천구,신정동,청자,84.98,202204,2,62000,4,1997
양천구,목동,목동센트럴푸르지오,84.9914,202204,5,187800,28,2015
양천구,목동,인우,55.931,202204,5,53000,3,2002
양천구,신월동,성우,59.97,202204,5,48000,14,1998
양천구,신정동,신트리1,59.73,202204,7,84000,9,1999
양천구,신월동,성우,59.97,202204,8,48200,10,1998
양천구,신정동,목동신시가지14,74.19,202204,11,152000,6,1987
양천구,목동,목동신시가지4,48.69,202204,12,132000,6,1986
양천구,신월동,금하뜨라네,84.94,202204,13,40000,6,2016
양천구,신정동,경남아너스빌,96.17,202204,16,159500,15,2004
양천구,신월동,흥양훼미리,64.2,202204,19,34700,3,2002
양천구,신월동,조광,121.75,202204,19,58300,9,1997
